ID,Severity,Category,Title,File,Line(s),Description,Impact,Recommended Fix,Estimated Effort Hours
C-1,CRITICAL,Security - Authorization,Tenant Isolation Bypass via Header Injection,backend/src/middleware/tenantContext.js,3-7,"Users can specify arbitrary x-tenant-id headers to access other tenants' data, bypassing JWT claims","Complete data isolation breach; users access competitors' invoices, configurations, and audit logs","Remove header override in tenantContext middleware. Use only JWT claims (req.auth?.tenantId). Validate tenantId exists and user belongs to tenant",2
C-2,CRITICAL,Security - API Abuse,N8N Extraction Webhook No Authentication,backend/src/routes/invoices.js,15-17,"N8N webhooks are unauthenticated. Any attacker can trigger fake extraction results, marking invoices as extracted without actual OCR","Malicious extraction results injected; fake GL postings; invoice audit trail corrupted; financial records compromised","Implement HMAC signature validation on N8N webhook payloads. Add timestamp validation (prevent replay attacks). Separate webhook routes from authenticated API. Add rate limiting per tenant/invoice",4
C-3,CRITICAL,Validation - Authorization,Missing TenantId Validation in Bulk Upload,backend/src/services/invoicesService.js,550-565,"bulkUpload() accepts null/empty tenantId, bypassing access control checks downstream","Files uploaded without tenant binding; cross-tenant file leakage; users bypass auth","Add validation: if (!context?.tenantId) throw createError('Tenant context required', 400, 'VALIDATION_ERROR')",1
C-4,CRITICAL,Security - Path Traversal,File Path Traversal Vulnerability,backend/src/services/invoicesService.js,581,"path.join() doesn't prevent ../ sequences in paths if incomingPath is compromised. Attacker can read/write arbitrary files on server","Read/write arbitrary files on server; complete filesystem compromise","Validate resolved path stays within root: const basePath = path.resolve(incomingPath); const fullPath = path.resolve(basePath, storedName); if (!fullPath.startsWith(basePath)) throw error",3
C-5,CRITICAL,Error Handling - Observability,N8N Fire-and-Forget Promise Rejection Silent Failure,backend/src/services/invoicesService.js,630-658,"Extraction failures are silent-logged to console. If process exits/crashes, webhook delivery is lost forever. No retry queue","Invoices stuck in EXTRACTING state indefinitely; silent data loss; no alerting to operators; extraction failures undetected","Implement queue-based N8N delivery with retries. Store webhook delivery attempts in database. Async retry worker processes queue every 5min. Log all failures to persistent store",6
C-6,CRITICAL,Resource Management - DB Leaks,Database Connection Leak on Transaction Rollback Failure,backend/src/db/pool.js + repositories/*,varies,"Connection pool not explicitly managed in error paths. If client.query('ROLLBACK') fails, connection not released properly","Connection pool exhaustion after a few errors; subsequent requests hang; database becomes unreachable; application DoS","Implement proper try/finally/catch block: finally { try { client.release(); } catch (e) { client.end().catch(() => {}); } }",4
C-7,CRITICAL,Data Validation,Null Pointer on Invoice ID Extraction,backend/src/services/invoicesService.js,166-180,"Missing null checks on context object. If context is malformed (missing tenantId), subsequent DB queries fail with unhandled TypeError","Unhandled exception crashes request handler; potential DoS vector; 500 errors on user requests","Add validation: const tenantId = requireTenantId(context?.tenantId); const branchId = requireBranchId(context?.branchId); Add requireTenantId() helper",1
C-8,CRITICAL,Business Logic - Deduplication,Deduplication Bypassed by Tenant Isolation Issue,backend/src/repositories/invoiceRuntimeRepository.js,varies,"When combined with C-1 (tenant isolation bypass), deduplication is bypassed across tenants. Attacker uploads same PDF to multiple tenants","Secondary to C-1. Both tenants' records corrupted; duplicate invoices in system; financial data integrity violated; audit trail poisoned","This is a secondary effect of C-1. Fixing C-1 resolves this issue automatically. Ensure dedup hash check includes tenant_id in query",inherited from C-1
H-1,HIGH,Authorization - RBAC,Missing Role-Based Access Control Enforcement,backend/src/services/invoicesService.js,varies,"No validation that users have correct role to perform actions. Any authenticated user can call any endpoint (REVIEWER-only, POSTING_OPERATOR-only, etc.)","Reviewers can post invoices (bypassing approval); Posting operators can modify extracted data; Audit operators can approve/reject invoices; role isolation broken","Implement requireRole() helper in all service methods: requireRole(context, ['REVIEWER', 'SUPER_ADMIN']); Throw 403 if role insufficient",4
H-2,HIGH,Input Validation,Unvalidated N8N Webhook Payloads,backend/src/controllers/invoicesController.js,extraction endpoints,"N8N sends extraction results (extracted fields, confidence scores) with no schema validation. Backend accepts any structure","Data quality degradation; Invalid field names cause DB errors; Null values corrupt data; XSS payloads injected; Analytics poisoned if rendered unsanitized","Add payload schema validation: const schema = z.object({ extractedFields: z.record(z.string()), confidence: z.number().min(0).max(1) }); const validated = schema.parse(req.body)",3
